NCPPB ID	BioSample	NCBI strain	NCBI assemblies	PhytoBacExplorer assemblies	NCPPB_number	taxon	genus	species	sub_species	pathovar	catalogue_name	name_as_received	synonyms	organism_author	organism_type	type_strain	pathotype_strain	country_of_origin	country_of_isolation	location	location_name	host	isolated_from	isolated_by	donor	donor_institution	donor_reference	year_of_accession	year_of_isolation	pathogenic_to	pathogenicity_confirmed	literature	public_notes	other_collections	sequence_types	sequenced	sequencing_notes	url_link_ncbi	url_link_q_bank	detail_url	Basis for match
NCPPB 330					330	Pseudomonas syringae pv. morsprunorum					Pseudomonas syringae pv. morsprunorum (Wormald 1931) Young, Dye & Wilkie 1978	Pseudomonas morsprunorum		(Wormald 1931) Young, Dye & Wilkie 1978	Bacteria	No	No	UK		2	NCPPB Primary Storage				J.E. Crosse		C22	1954			Yes		Whole genome sequencing places this strain with other Race 1 Psm in the Pseudomonas amygdali clade (NCPPB May 2026)			No				https://ncppb.fera.co.uk/furtherinfo/330	
NCPPB 331					331	Pseudomonas syringae pv. morsprunorum					Pseudomonas syringae pv. morsprunorum (Wormald 1931) Young, Dye & Wilkie 1978	Pseudomonas morsprunorum		(Wormald 1931) Young, Dye & Wilkie 1978	Bacteria	No	No	UK		2	NCPPB Primary Storage				J.E. Crosse		C24	1954			Yes		Whole genome sequencing places this strain with other Race 1 Psm in the Pseudomonas amygdali clade (NCPPB May 2026)			No				https://ncppb.fera.co.uk/furtherinfo/331	
NCPPB 332					332	Ralstonia pseudosolanacearum					Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996, Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993, Pseudomonas solanacearum (Smith 1896) Smith 1914	(Smith 1896) Safni et al. 2014	Bacteria	No	No	Zimbabwe		2	NCPPB Primary Storage	Solanum tuberosum			G.R. Bates		SRN 15	1954	1954		No		Biovar I			No				https://ncppb.fera.co.uk/furtherinfo/332	
NCPPB 338					338	Ralstonia solanacearum					Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993, Pseudomonas solanacearum (Smith 1896) Smith 1914	(Smith 1896) Yabuuchi et al. 1996	Bacteria	No	No	USA		2	NCPPB Primary Storage	Nicotiana tabacum			A. Kelman			1954			Yes		Biovar I	ICPB PS125		No				https://ncppb.fera.co.uk/furtherinfo/338	
NCPPB 339					339	Ralstonia solanacearum					Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993, Pseudomonas solanacearum (Smith 1896) Smith 1914	(Smith 1896) Yabuuchi et al. 1996	Bacteria	No	No	Israel		2	NCPPB Primary Storage				Z. Volcani		80	1954			No		Biovar II.			No				https://ncppb.fera.co.uk/furtherinfo/339	
NCPPB 342					342	Ralstonia pseudosolanacearum					Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996, Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993, Pseudomonas solanacearum (Smith 1896) Smith 1914	(Smith 1896) Safni et al. 2014	Bacteria	No	No	Zimbabwe		2	NCPPB Primary Storage	Nicotiana tabacum.		G.R. Bates MR12288				1954			Yes		Biovar I.			No				https://ncppb.fera.co.uk/furtherinfo/342	
NCPPB 345					345	Pseudomonas sp.					Pseudomonas sp.			Migula 1894	Bacteria	No	No			2	NCPPB Primary Storage							1958			No					No				https://ncppb.fera.co.uk/furtherinfo/345	
NCPPB 346					346	Pseudomonas sp.					Pseudomonas sp.			Migula 1894	Bacteria	No	No			2	NCPPB Primary Storage										No					No				https://ncppb.fera.co.uk/furtherinfo/346	
NCPPB 347					347	Xanthomonas campestris pv. armoraciae					Xanthomonas campestris pv. armoraciae (McCulloch 1929) Dye 1978	Pseudomonas campestris var. armoraciae (McCulloch 1929) Krasilnikov 1949		(McCulloch 1929) Dye 1978	Bacteria	No	Yes	Tanzania		2	NCPPB Primary Storage	Iberis sp.		G.B. Wallace				1954	1954		Yes		Reported not to be pathogenic to Armoracia	ICMP 7, LMG 535		No				https://ncppb.fera.co.uk/furtherinfo/347	
NCPPB 349	SAMN25042865 	 			349	Trinickia caryophylli					Burkholderia caryophylli (Burkholder 1942) Yabuuchi et al. 1993	Pseudomonas caryophylli	Pseudomonas caryophylli (Burkholder 1942) Starr and Burkholder 1942, Burkholderia caryophylli (Burkholder 1942) Yabuuchi et al. 1993, Paraburkholderia caryophilli (Yabuuchi et al. 1993) Sawana et al. 2014	(Burkholder 1942) Estrada-de Los Santos et al. 2018	Bacteria	No	No	Denmark		2	NCPPB Primary Storage	Dianthus caryophyllus			E. Hellmers			1954			No			ICPB PC115		No				https://ncppb.fera.co.uk/furtherinfo/349	 strain = NCPPB 3491; 
